,Ссылка,Метро,Время до метро,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Ванная,Ремонт,Цена
44,https://www.cian.ru/rent/flat/275639077/,Выхино,10.0,32.0,16.0,7.0,9.0,1972.0,1 раздельный,Косметический,26000.0
45,https://www.cian.ru/rent/flat/275812407/,Беломорская,5.0,30.0,18.0,5.0,17.0,2018.0,1 совмещенный,,60000.0
46,https://www.cian.ru/rent/flat/274198644/,улица Народного ополчения,6.0,23.7,16.0,3.0,5.0,1966.0,1 раздельный,Косметический,30000.0
47,https://www.cian.ru/rent/flat/275764947/,Коптево,20.0,35.0,19.0,4.0,16.0,1974.0,1 совмещенный,Косметический,42000.0
48,https://www.cian.ru/rent/flat/274187201/,Автозаводская,9.0,46.1,23.3,4.0,5.0,1928.0,,Косметический,60000.0
49,https://www.cian.ru/rent/flat/275526433/,Рассказовка,35.0,40.0,,4.0,17.0,2012.0,1 совмещенный,Косметический,35000.0
50,https://www.cian.ru/rent/flat/274790628/,Бибирево,10.0,35.7,21.0,1.0,16.0,1976.0,1 совмещенный,Косметический,30000.0
51,https://www.cian.ru/rent/flat/232873046/,ВДНХ,5.0,36.0,,7.0,9.0,1974.0,1 совмещенный,Евроремонт,55000.0
52,https://www.cian.ru/rent/flat/268878713/,Спортивная,3.0,36.0,20.0,3.0,12.0,1969.0,1 совмещенный,,90000.0
53,https://www.cian.ru/rent/flat/259930789/,Бунинская аллея,8.0,37.0,17.0,2.0,10.0,1998.0,1 раздельный,Косметический,35000.0
54,https://www.cian.ru/rent/flat/274193454/,Китай-город,15.0,34.0,22.0,5.0,5.0,1909.0,1 совмещенный,Дизайнерский,96000.0
55,https://www.cian.ru/rent/flat/275796821/,Минская,8.0,34.0,,4.0,5.0,,1 раздельный,,35000.0
56,https://www.cian.ru/rent/flat/275847923/,Киевская,5.0,45.0,25.0,4.0,14.0,1975.0,1 совмещенный,Евроремонт,90000.0
57,https://www.cian.ru/rent/flat/274386002/,Беляево,10.0,33.0,19.0,4.0,5.0,1968.0,1 раздельный,Косметический,30000.0
58,https://www.cian.ru/rent/flat/275767293/,Лефортово,6.0,42.0,18.0,7.0,12.0,1958.0,1 совмещенный,,40000.0
59,https://www.cian.ru/rent/flat/261455924/,Ольховая,7.0,42.0,18.0,25.0,25.0,2012.0,1 совмещенный,Евроремонт,40000.0
60,https://www.cian.ru/rent/flat/275857919/,Печатники,36.0,35.0,20.0,5.0,9.0,1972.0,1 совмещенный,Косметический,30000.0
61,https://www.cian.ru/rent/flat/260406728/,Беговая,11.0,43.0,20.0,15.0,17.0,1988.0,1 совмещенный,Дизайнерский,55000.0
62,https://www.cian.ru/rent/flat/275873031/,Боровское шоссе,7.0,44.0,20.0,18.0,22.0,1988.0,1 раздельный,Евроремонт,38000.0
63,https://www.cian.ru/rent/flat/258959345/,Рассказовка,4.0,36.11,17.0,14.0,24.0,2015.0,1 совмещенный,Косметический,30000.0
64,https://www.cian.ru/rent/flat/259225272/,Сухаревская,4.0,37.2,,3.0,4.0,2000.0,1 совмещенный,Дизайнерский,60000.0
65,https://www.cian.ru/rent/flat/264971216/,Пионерская,3.0,32.0,18.0,9.0,9.0,1972.0,1 раздельный,Косметический,40000.0
66,https://www.cian.ru/rent/flat/275873874/,Зюзино,9.0,36.0,18.0,1.0,9.0,1962.0,1 совмещенный,Косметический,32000.0
67,https://www.cian.ru/rent/flat/264090718/,Марксистская,7.0,40.0,19.0,13.0,16.0,1973.0,1 совмещенный,Евроремонт,63000.0
68,https://www.cian.ru/rent/flat/190031625/,Улица Академика Янгеля,5.0,38.0,28.0,8.0,14.0,2010.0,,Дизайнерский,39000.0
69,https://www.cian.ru/rent/flat/239306234/,Бунинская аллея,5.0,42.5,,7.0,14.0,,,Евроремонт,30000.0
70,https://www.cian.ru/rent/flat/275764829/,Сетунь,9.0,36.0,20.0,2.0,16.0,1990.0,1 совмещенный,Косметический,29990.0
71,https://www.cian.ru/rent/flat/266072193/,Деловой центр,2.0,55.0,,40.0,65.0,,,Дизайнерский,180000.0
72,https://www.cian.ru/rent/flat/275781030/,Коньково,2.0,40.0,19.0,13.0,22.0,1987.0,1 раздельный,Евроремонт,43000.0
73,https://www.cian.ru/rent/flat/271154325/,Алексеевская,6.0,35.0,15.0,5.0,12.0,2020.0,1 совмещенный,,65000.0
74,https://www.cian.ru/rent/flat/275848089/,Новые Черемушки,10.0,35.0,20.0,1.0,9.0,1965.0,1 совмещенный,Евроремонт,35000.0
75,https://www.cian.ru/rent/flat/275720582/,Цветной бульвар,11.0,40.0,28.0,1.0,11.0,1961.0,1 совмещенный,Евроремонт,80000.0
76,https://www.cian.ru/rent/flat/275861106/,Нижегородская,8.0,40.4,19.0,9.0,17.0,1999.0,1 совмещенный,Евроремонт,45000.0
